,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
47,,1 Lithium ion batteries required. (included),ASUS,Dedicated,NVIDIA,Bonfire Black,DDR4 SDRAM,512,NVIDIA GeForce GTX 1650 Ti,512 GB SSD,Solid State,15.71 x 10.59 x 1.02 inches,5.73 pounds,FX706LI-RS53,1920x1080 Pixels,2933 MHz,,3,Windows 10 Home,No Optical Drive,,4.5 GHz apple_ci5,Intel,4,15.71 x 10.59 x 1.02 inches,8 GB DDR4,TUF Gaming F17 FX706,17.3 Inches,"Bluetooth, 802.11ax",$848.00,4.6,,PC,1920 x 1080 pixels,4 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
48,,1 Lithium ion batteries required. (included),MSI,Dedicated,NVIDIA,Black,,16,Nvidia GTX 1650,512 GB SSD,Solid State,1.08 x 14.08 x 9.76 inches,5.07 pounds,GL65 Leopard 10SCXK-211,1920 x 1080 Pixels,2666 MHz,,3,Win 10 Home,No Optical Drive,,2.6 GHz corei5_10300h,Intel,4,1.08 x 14.08 x 9.76 inches,16 GB DDR4,GL65 Leopard 10SCXK-211,15.6 Inches,Bluetooth,$879.00,4.6,,PC,1920 x 1080 pixels,4 GB,,,,,,,,,,,,,,,,,,,,,
49,,1 Lithium ion batteries required. (included),ASUS,Integrated,AMD,Gray,DDR4 SDRAM,512,AMD Radeon Graphics,512 GB SSD,USB 3.2,14.18 x 9.25 x 0.78 inches,3.97 pounds,M515UA-EB72,1920 x 1080 Pixels,3200 MHz,2,2,Windows 10 Home,No Optical Drive,,4.3 GHz ryzen_7,AMD,8,14.18 x 9.25 x 0.78 inches,8 GB DDR4,VivoBook 15,15.6 Inches,"Bluetooth, 802.11ac",,4.6,,PC,1920 x 1080 pixels,8 GB,19 Volts,,,,,,,,,,,,,,,,,,,,
50,19.5 Hours,2 Lithium ion batteries required. (included),LG,Integrated,Intel,Black,DDR4 SDRAM,16,,2 TB SSD,Solid State,14.97 x 10.24 x 0.7 inches,2.98 pounds,17Z90P-K.AAB9U1,2560 x 1600 Pixels,4266 MHz,,1,Windows 10 Home,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,14.97 x 10.24 x 0.7 inches,16 GB LPDDR4,LG gram,17 Inches,802.11ax,"$1,763.66",4.3,,PC,2560 x 1600 pixels,,,,,,,,,,,,,,,,,,,,,,
51,,1 Lithium Polymer batteries required. (included),Lenovo,,Intel,Platinum Gray,DDR4 SDRAM,256,,256 GB SSD,,9.98 x 14.26 x 0.78 inches,4.08 pounds,81WE011UUS,1920 x 1080 Pixels,2666 MHz,1,,Windows 10,,Battery Powered,1.2 GHz,Intel,2,9.98 x 14.26 x 0.78 inches,8 GB DDR4,Lenovo Ideapad,15.6 Inches,802.11ac,$459.77,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
52,,1 Lithium ion batteries required. (included),HP,,Intel,Black,DDR4 SDRAM,,Intel UHD Graphics 600,128 GB SSD,Serial ATA,14.11 x 9.53 x 0.78 inches,3.92 pounds,Notebook,1920 x 1080 Pixels,2.8 GHz,,,Windows 10,,"Corded Electric, Battery Powered",1.1 GHz celeron,Intel,2,14.11 x 9.53 x 0.78 inches,8 GB DDR4,HP Notebook,15.6 Inches,"Bluetooth, 802.11a",$439.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
53,8 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Dedicated,Intel,Gray,DDR4 SDRAM,512,Intel UHD Graphics,256 GB SSD,Solid State,14.26 x 9.98 x 0.78 inches,7.1 ounces,82H800KAUS,1366 x 768 Pixels,3.9 GHz,1,1,Windows 10,No Optical Drive,AC & Battery,1 GHz core_i5_1035g1,Intel,2,14.26 x 9.98 x 0.78 inches,12 GB DDR4,Lenovo Ideapad,15.6 Inches,802.11a,$595.00,4.5,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
54,,1 Lithium ion batteries required.,Dell,,Intel,Black,SDRAM,256 GB,Intel UHD Graphics with shared graphics memory,256 GB SSD,Solid State,14.96 x 10.16 x 0.89 inches,4.46 pounds,Inspiron 3593,1366 x 768 Pixels,3.6 GHz,,,Windows 10,,Battery Powered,1 GHz core_i5,Intel,4,14.96 x 10.16 x 0.89 inches,8 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$536.00,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
55,,1 Lithium ion batteries required. (included),Dell,"Intel Iris Xe Graphics, Dedicated",Intel,Silver,SODIMM,512,Intel Iris Graphics 550,512 GB SSD,,9.01 x 14.02 x 0.71 inches,3.6 pounds,i5510-5136SLV-PUS,1920 x 1080 Pixels,3200 MHz,,3,Windows 10 Home,No Optical Drive,,2.6 GHz core_i5_family,Intel,4,9.01 x 14.02 x 0.71 inches,8 GB DDR4,Inspiron 15 5510,15.6 Inches,Bluetooth,$758.00,4.4,,PC,1920 x 1080 pixels,,,,0.92 MP,,,,,,,,,,,,,,,,,,
56,,1 Lithium ion batteries required. (included),Lenovo,Integrated,Intel,Black,DDR4 SDRAM,512 GB,Intel® Iris® Xe Graphics,512 GB SSD,Solid State,12.4 x 8.7 x 0.59 inches,2.49 pounds,20XW003KUS,1920 x 1200 Pixels,4266 MHz,,,Windows 10 Pro,,Battery Powered,4.8 GHz core_i7_family,Intel,4,12.4 x 8.7 x 0.59 inches,16 GB,Lenovo ThinkPad X1 Carbon Gen 9,14 Inches,Bluetooth,"$1,984.99",3.9,,PC,,,,,,,,,,,,,,,,,,,,,,,
57,,1 Lithium ion batteries required.,Lenovo,Integrated,Allwinner,,Unknown,8,Intel UHD Graphics,256 GB flash memory solid state,Unknown,9.6 x 14.5 x 0.74 inches,4.2 pounds,20RD005HUS,1920 x 1080,2666 MHz,,,Windows 10 Pro,BD-ROM,,8032,Intel,1,9.6 x 14.5 x 0.74 inches,,E15,3 Inches,Bluetooth,$898.99,4.6,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
58,12 Hours,,Lenovo,,AMD,,DDR4 SDRAM,512 GB,Integrated AMD Radeon 7 Graphics,512 GB SSD,Solid State,12.9 x 9.5 x 0.8 inches,2.35 pounds,Lenovo,1920 x 1080 Pixels,,,,Windows 10 Home,,,4 GHz ryzen_5,AMD,6,12.9 x 9.5 x 0.8 inches,20 GB DDR4,Lenovo Ideapad,15.6 Inches,Bluetooth,,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
59,,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3060,NVIDIA,Eclipse Gray,DDR4 SDRAM,512,NVIDIA GeForce RTX 3060,512 GB SSD,,13.9 x 10.2 x 0.9 inches,5.07 pounds,G513QM-EB94,1920X1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,,3.3 GHz ryzen_9,AMD,8,13.9 x 10.2 x 0.9 inches,16 GB SO-DIMM,ASUS ROG Strix G15,15.6 Inches,"Bluetooth, 802.11ax",,4.7,,PC,1920 x 1080 pixels,16 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
60,,1 Lithium ion batteries required. (included),ASUS,Dedicated,Intel,Celestial Blue,DDR4 SDRAM,1,NVIDIA GeForce MX450,1 TB SSD,ESATA,12.76 x 8.74 x 0.68 inches,3.57 pounds,UX482EG-XS74T,1920 x 1080 Pixels,4267 MHz,,1,Windows 10 Pro,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,12.76 x 8.74 x 0.68 inches,16 GB LPDDR4,ZenBook Duo 14 UX482,14 Inches,"Bluetooth, 802.11ax",,4.3,,PC,,2 GB,,,,,,,,,,,,,,,,,,,,,
61,,,Dell,Integrated,Intel,Black,DDR4 SDRAM,,Intel UHD Graphics,628 GB Hybrid,ATA,19.37 x 12.91 x 2.91 inches,6.32 pounds,Dell Inspiron 3000,1366 x 768 Pixels,2666 MHz,1,2,Windows 10 S,,AC & Battery,1.8 GHz celeron_n,Intel,2,19.37 x 12.91 x 2.91 inches,8 GB DDR4,,15.6 Inches,801.11ac,$387.00,4.5,,PC,1366x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
62,,1 Lithium Metal batteries required. (included),MSI,Dedicated,NVIDIA,Core Black,DDR4 SDRAM,16,Nvidia RTX 3060,512 GB SSD,Solid State,0.85 x 14.13 x 9.99 inches,4.1 pounds,GF65 Thin 10UE-047,1920 x 1080 Pixels,3200 MHz,,2,Win 10 Home,No Optical Drive,,2.6 GHz corei7_10750h,Intel,6,0.85 x 14.13 x 9.99 inches,16 GB DDR4,GF65 Thin 10UE-047,15.6 Inches,Bluetooth,"$1,249.00",4.5,,PC,1920 x 1080 pixels,6 GB,,,,,,,,,,,,,,,,,,,,,
63,9 Hours,,HP,,Intel,,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB emmc,USB 3.1,12.76 x 8.86 x 0.71 inches,3.24 pounds,HP,1366 x 768 Pixels,2400 MHz,,,Windows 10 S,,AC & Battery,1.1 GHz celeron,Intel,2,12.76 x 8.86 x 0.71 inches,4 GB DDR4,HP,14 Inches,"Bluetooth, 802.11ac",$373.00,4.4,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
64,15 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,"BLACK, GREEN",,512,Intel Iris Plus Graphics,flash memory solid state,USB,11.81 x 9.25 x 0.59 inches,2.6 pounds,SP513-54N-74V2,1280 x 720,3.9 GHz,,2,Windows 10 Home,No Optical Drive,Battery Powered,3.9 GHz core_i7_1065g7,Intel,4,11.81 x 9.25 x 0.59 inches,16 GB LPDDR4,SP513-54N-74V2,13.5 Inches,Bluetooth,$947.69,4.5,,Windows,,,100240 Volts,,,,,,,,,,,,,,,,,,,,
65,5 Hours,1 Lithium ion batteries required. (included),Samsung Electronics,Integrated,Intel,Platinum Titan,DDR4 SDRAM,,Intel UHD Graphics 600,32 GB Embedded MultiMediaCard,Solid State,11.33 x 7.96 x 0.66 inches,2.6 pounds,XE310XBA-KA1US,1366 x 768 Pixels,2133 GHz,,2,Chrome OS,No Optical Drive,Battery Powered,1.1 GHz celeron_n3450,Intel,1,11.33 x 7.96 x 0.66 inches,4 GB DDR4,Chromebook 4,11.6 Inches,801.11ac,,4.3,,PC,,4 GB,,XE310XBA-KA1US,,,,,,,,,,,,,,,,,,,
66,8 Hours,2 AA batteries required. (included),Coolby,,Intel,Gray J4125,DDR4 SDRAM,,UHD Graphics 600,256 GB SSD,Serial ATA-300,15.9 x 13.5 x 2.32 inches,3.4 pounds,J4125,1920*1080 Pixels,2.5 GHz,,2,Windows 10 Pro,,Corded Electric,2.5 MHz celeron_3865u,Intel,4,15.9 x 13.5 x 2.32 inches,8 GB LPDDR4,,15.6 Inches,,,4.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
67,14 Hours,1 Lithium Metal batteries required. (included),HP,,Intel,Rose Gold,DDR4 SDRAM,,Intel UHD Graphics 600,64 GB SSD,Solid State,17.63 x 12.05 x 2.8 inches,4.4 pounds,DQ0004DX64GB,1366 x 768 Pixels,2.8 GHz,,,Win10,,Battery Powered,2.8 GHz celeron_n4020,Intel,2,17.63 x 12.05 x 2.8 inches,4 GB DDR4,HP Stream,14 Inches,802.11ac,,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
68,,,MSI,Dedicated,NVIDIA,Black,DDR4 SDRAM,16,NVIDIA GeForce RTX 2060,512 GB Flash Memory Solid State,Thunderbolt 3,10.22 x 15.59 x 0.75 inches,5.29 pounds,GS75 Stealth 10SE-620,1920 x 1080 Pixels,3200 MHz,,3,Windows 10 Pro,No Optical Drive,AC & Battery,2.3 GHz core_i7,Intel,8,10.22 x 15.59 x 0.75 inches,16 GB DDR4,GS75 Stealth 10SE-620,17.3 Inches,,"$1,614.99",4.4,,PC,1920 x 1080 pixels,6 GB,,GS75620,,,,,,,,,,,,,,,,,,,
69,,1 Lithium Metal batteries required. (included),HP,Integrated,Intel,Red,DDR4 SDRAM,128 GB,Intel UHD Graphics 605,128 GB SSD,Solid State,15 x 13.3 x 0.8 inches,1.8 pounds,dw1083wm,1366x768 Pixels,2400 MHz,,,Windows 10,,AC & Battery,2.4 GHz pentium_other,Intel,2,15 x 13.3 x 0.8 inches,4 GB DDR4,15-red,15.6 Inches,802.11ac,$360.00,4.5,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
70,,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3070,NVIDIA,Eclipse Gray,DDR4 SDRAM,1,NVIDIA GeForce RTX 3070,1 TB,,15.55 x 1.08 x 11.1 inches,5.95 pounds,G713QR-ES96,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,,4.5 GHz ryzen_9,AMD,8,15.55 x 1.08 x 11.1 inches,8 GB DDR4,ROG Strix G17,17.3 Inches,"Bluetooth, 802.11ax","$2,045.00",4.4,,PC,1920 x 1080 pixels,8 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
71,,1 Lithium Polymer batteries required. (included),Samsung Electronics,Integrated,Intel,Light Titan,,32,Intel HD Graphics 615,32 GB flash memory solid state,,11.34 x 0.67 x 8.2 inches,2.98 pounds,XE520QAB-K01US,1900*1200 Pixels,,1,1,Chrome OS,No Optical Drive,Battery Powered,1.5 GHz celeron,Intel,1,11.34 x 0.67 x 8.2 inches,4 GB LPDDR3,Samsung Chromebook,12.2 Inches,802.11ac,$297.99,4.4,,Chrome OS,,,,,,,,,,,,,,,,,,,,,,,
72,9 Hours,1 Lithium ion batteries required. (included),Acer,Dedicated,NVIDIA,Black,DDR4 SDRAM,1,NVIDIA GeForce RTX 3060,SSD,Solid State,15.89 x 11.02 x 0.98 inches,5.95 pounds,,1920 x 1080,3200 MHz,,4,Windows 10 Home,No Optical Drive,Battery Powered,4.4 GHz ryzen_7,AMD,8,15.89 x 11.02 x 0.98 inches,16 GB DDR4,AN517-41-R0RZ,17.3 Inches,Bluetooth,"$1,569.00",4.5,,,,6 GB,,,,,,,,,,,,,,,,,,,,,
73,12 Hours,1 Lithium Polymer batteries required.,Lenovo,Integrated,Intel,Grey,DDR4 SDRAM,512 GB,Integrated Intel Iris X Graphics,512 GB SSD,Serial ATA,14.04 x 9.18 x 0.75 inches,4.44 pounds,LENOVO,1920 x 1080 Pixels,2.8 GHz,,,Windows 10 Home,,AC & Battery,2.8 GHz core_i7,Intel,4,14.04 x 9.18 x 0.75 inches,12 GB SDRAM,IdeaPad 5,15.6 Inches,Bluetooth,$763.99,4.6,,PC,1920 x 1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
74,10 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,Silver,DDR4 SDRAM,64,Intel,32 GB embedded multimediacard,Solid State,15.35 x 8.11 x 0.79 inches,2.62 pounds,CP311-2H-C3KA,1366 x 768 Pixels,2.6 GHz,,4,Chrome OS,No Optical Drive,Battery Powered,2.6 GHz celeron_n,Intel,2,15.35 x 8.11 x 0.79 inches,4 GB LPDDR4,CP311-2H-C3KA,11.6 Inches,Bluetooth,$240.00,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
75,,1 AA batteries required.,Dell,,Intel,,DDR DRAM,256 GB,Intel® Iris Xe Graphics,256 GB SSD,Solid State,9.1 x 9.1 x 9.1 inches,1 pounds,i3501-5081BLK-PUS,1920 x 1080 Pixels,,,,Windows 10,,Battery Powered,9 GHz core_i5,Intel,4,9.1 x 9.1 x 9.1 inches,12 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$595.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
76,9 Hours,1 Lithium Metal batteries required. (included),HP,Integrated,AMD,Indigo Blue,DDR4 SDRAM,64,AMD Radeon,Embedded MultiMediaCard,,0.71 x 8.86 x 12.76 inches,3.24 pounds,14-fq0040nr,1366 x 768 Pixels,2400 MHz,,,Windows 10 Home,No Optical Drive,Battery Powered,2.6 GHz amd_e_series,AMD,2,0.71 x 8.86 x 12.76 inches,4 GB DDR4,HP 14 Laptop,14 Inches,"Bluetooth, 802.11a/b/g/n/ac",,4.6,,PC,1366 x 768 pixels,,,,,,,,,,,,,,,,,,,,,,
77,,,HP,,Intel,,DDR4 SDRAM,128 GB,Intel UHD Graphics 600,128 GB SSD,Solid State,14.1 x 9.5 x 0.8 inches,3.92 pounds,15-dw1001wm,1920 x 1080 Pixels,2.8 GHz,,,"Windows 10 Home, Windows 10 S",,"Corded Electric, Battery Powered",1.1 GHz celeron_n4020,Intel,2,14.1 x 9.5 x 0.8 inches,8 GB,,15.6 Inches,"Bluetooth, 802.11a",$429.99,4.3,,PC,,,,,,,,,,,,,,,,,,,,,,,
78,,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Silver,DDR SDRAM,256,Intel UHD Graphics,256 GB ssd,Solid State,14.11 x 9.53 x 0.71 inches,4.8 pounds,dy1043dx,1366x768 Pixels,,,,Windows 10,BD-R,,1 GHz core_i5_family,Intel,4,14.11 x 9.53 x 0.71 inches,12 GB DDR4,15-dy1043dx,15.6 Inches,Bluetooth,$619.99,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
79,1 	years,1 Lithium Polymer batteries required. (included),Dell,Integrated,Intel,Black,DDR3 SDRAM,16 GB,Intel HD Graphics,16 GB flash_memory_solid_state,ATA,,2.9 pounds,Dell-CB1C13-RB,1280 x 800 Pixels,,2,1,Chrome OS,No Optical Drive,Battery Powered,1.4 GHz celeron,Intel,1,,4 GB DDR3,Dell Chromebook 11,11.6 Inches,802.11n,$85.00,4.2,,Chrome,,2 MB,,,,,,,,,,,,,,,,,,,,,
80,2 Hours,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3080,NVIDIA,Black,DDR4 SDRAM,1,NVIDIA GeForce RTX 3080,1 TB SSD,,13.94 x 10.2 x 1.07 inches,5.07 pounds,G533QS-DS96,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,,4.6 GHz ryzen_9,AMD,8,13.94 x 10.2 x 1.07 inches,16 GB DDR4,ROG Strix Scar 15,15.6 Inches,"Bluetooth, 802.11ax",,4.0,,PC,1920 x 1080 pixels,8 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
81,5 Hours,1 Lithium ion batteries required. (included),Lenovo,,AMD,Black,SODIMM,256 GB,AMD Radeon Graphics,256 GB SSD,Solid State,9.4 x 14.4 x 0.7 inches,3.7 pounds,E15,1920 x 1080,2800 MHz,,,Windows 10,,AC & Battery,2.3 GHz amd_r_series,AMD,6,9.4 x 14.4 x 0.7 inches,8 GB SO-DIMM,ThinkPad,15.6 Inches,Bluetooth,$795.00,4.7,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
82,,1 Lithium Polymer batteries required. (included),ASUS,Integrated,Intel,Grey,DDR4 SDRAM,512,Intel UHD Graphics,512 GB flash memory solid state,USB,14.1 x 9.1 x 0.8 inches,3.5 pounds,F512JA-AS54,1920 x 1080 Pixels,3.6 GHz,2,2,Windows 10 Home,No Optical Drive,,3.6 GHz core_i5_1035g1,Intel,4,14.1 x 9.1 x 0.8 inches,8 GB DDR4,VivoBook 15,15.6 Inches,"Bluetooth, 802.11ax",$670.00,4.5,,PC,1920 x 1080 pixels,8 GB,,,,,,,,,,,,,,,,,,,,,
83,,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,,DDR4 SDRAM,512,Intel UHD Graphics,512 GB SSD,ATA,14.26 x 9.98 x 0.78 inches,5.09 pounds,81WR000AUS,1366 x 768 Pixels,1.6 GHz,1,1,Windows 10 Home,No Optical Drive,,1.6 GHz core_i5_10210u,Intel,4,14.26 x 9.98 x 0.78 inches,8 GB DDR4,81WR000AUS,15.6 Inches,Bluetooth,$645.90,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
84,5 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,,DDR3 SDRAM,64,,Embedded MultiMediaCard,USB,12.81 x 9.13 x 0.78 inches,4.79 pounds,CB314-1H-C884,1920 x 1080 Pixels,2.6 GHz,,2,Chrome OS,No Optical Drive,Battery Powered,2.6 GHz celeron_n,Intel,2,12.81 x 9.13 x 0.78 inches,4 GB LPDDR4,CB314-1H-C884,14 Inches,"Bluetooth, 802.11ac",$309.00,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
85,10 Hours,1 Lithium ion batteries required. (included),Lenovo,Integrated,AMD,Graphite Grey,DDR4 SDRAM,256 GB,AMD Radeon Series,256 GB ssd,Serial ATA,12.66 x 8.56 x 0.82 inches,3.63 pounds,LENOVO,1920 x 1080,2.3 GHz,,,Windows 10,,AC & Battery,2.3 GHz amd_r_series,AMD,6,12.66 x 8.56 x 0.82 inches,16 GB SDRAM,Flex 5,14 Inches,802.11ac,$708.00,4.4,,PC,1920 x 1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
86,10 Hours,1 Lithium Metal batteries required. (included),ASUS,Integrated,Intel,Grey,DDR4 SDRAM,32,Intel HD Graphics 500,32 GB Embedded MultiMediaCard,Solid State,11.5 x 7.8 x 0.8 inches,2.6 pounds,C223NA-DH02,1366 x 768 Pixels,1 GHz,,3,Chrome OS,No Optical Drive,,2.4 GHz celeron_n3350,Intel,2,11.5 x 7.8 x 0.8 inches,4 GB DDR4,Chromebook C223,11.6 Inches,"Bluetooth, 802.11a/b/g/n/ac",$165.00,4.2,10000 RPM,PC,1366 x 768,4 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
87,,1 Lithium ion batteries required. (included),Acer,,Intel,Silver,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,USB,14.4 x 9.9 x 0.8 inches,4.19 pounds,Flagship Chromebook IPS TouchScreen,1920 x 1080 Pixels,2.6 GHz,,,Chrome OS,,DC & Battery,1.1 GHz celeron_n4020,Intel,2,14.4 x 9.9 x 0.8 inches,4 GB LPDDR4,"Flagship 15.6"" Chromebook IPS TouchScreen",15.6 Inches,802.11ac,$379.00,4.6,,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
88,8 Hours,,Acer,Integrated,AMD,Sliver,DDR4 SDRAM,256 GB,Intel,256 GB SSD,Solid State,14.31 x 9.74 x 0.71 inches,3.97 pounds,Aspire 5,1920 x 1080 Pixels,3.5 GHz,,,Windows 10,,Battery Powered,2 GHz core_i3,Intel,2,14.31 x 9.74 x 0.71 inches,8 GB DDR4,Aspire 5,15.6 Inches,Bluetooth,$499.99,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
89,11 Hours,,HP,Integrated,Intel,Snow White,DDR4 SDRAM,32 GB,Intel HD Graphics 500,32 GB eMMC,Solid State,17.9 x 12.1 x 3 inches,3.58 pounds,14-ca010nr,1366 x 768,2400 MHz,2,2,Chrome OS,,Battery Powered,1.1 GHz celeron,Intel,1,17.9 x 12.1 x 3 inches,4 GB LPDDR4,Chromebook,14 Inches,"Bluetooth, 802.11b",$224.99,4.4,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
90,,,HP,,Intel,Rose Gold,DDR4 SDRAM,64 GB,Intel UHD Graphics,64 GB SSD,Solid State,12.7 x 8.8 x 0.7 inches,3.2 pounds,Premium,1366 x 768 Pixels,2.8 GHz,,,Windows 10,,"Corded Electric, Battery Powered",2.6 GHz celeron,Intel,2,12.7 x 8.8 x 0.7 inches,16 GB DDR4,Premium,14 Inches,"Bluetooth, 802.11a",$419.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
91,,,HP,,Intel,Rose Gold,DDR4 SDRAM,64 GB,Intel UHD Graphics,64 GB SSD,Solid State,12.7 x 8.8 x 0.7 inches,3.2 pounds,Premium,1366 x 768 Pixels,2.8 GHz,,,Windows 10,,"Corded Electric, Battery Powered",2.6 GHz celeron,Intel,2,12.7 x 8.8 x 0.7 inches,16 GB DDR4,Premium,14 Inches,"Bluetooth, 802.11a",$419.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
92,8 Hours,1 Lithium ion batteries required. (included),Samsung Electronics,Integrated,Intel,Red,DDR4 SDRAM,8,,256 GB ssd,Solid State,11.92 x 8 x 0.39 inches,2.29 pounds,XE930QCA-K01US,3840 x 2160 Pixels,,,2,Chrome OS,No Optical Drive,,1.6 GHz core_i5_10210u,Intel,1,11.92 x 8 x 0.39 inches,8 GB LPDDR3,Galaxy Chromebook,13.3 Inches,"Bluetooth, 802.11ax",$684.00,4.2,,,3840 x 2160 pixels,,7.7 Volts (AC),,,,,,,,,,,,,,,,,,,,
93,10 Hours,1 Lithium Polymer batteries required. (included),ASUS,UMA,Intel,Silver,DDR4 SDRAM,32,Intel HD Graphics 500,32 GB eMMC,Serial ATA,14.1 x 9.8 x 0.61 inches,3.15 pounds,C523NA-DH02,1366 x 768 Pixels,,,3,Chrome OS,No Optical Drive,AC & Battery,2.4 GHz celeron,Intel,2,14.1 x 9.8 x 0.61 inches,4 GB LPDDR4,ASUS Chromebook C523,15.6 Inches,802.11a/b/g/n/ac,,4.3,5400 RPM,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
94,,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Platinum Grey,,,,SSD,USB,12.88 x 9.49 x 0.78 inches,3.3 pounds,,1920 x 1080,,1,2,Windows 10 S,No Optical Drive,Battery Powered,1.2 GHz core_i3,Intel,1,12.88 x 9.49 x 0.78 inches,128 GB DDR4,Ideapad 3 14 Laptop,14,Bluetooth,$499.00,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
95,10 Hours,1 Lithium Polymer batteries required. (included),Samsung Electronics,Integrated,Intel,Light Titan,,64,Intel HD Graphics 615,64 GB flash memory solid state,USB-C,11.35 x 0.67 x 8.2 inches,2.98 pounds,XE520QAB-K03US,1900*1200 Pixels,,2,1,Chrome OS,No Optical Drive,Battery Powered,1.5 GHz celeron,Intel,1,11.35 x 0.67 x 8.2 inches,4 GB LPDDR3,Samsung Chromebook,12.2 Inches,Bluetooth,$342.67,4.5,,Chrome OS,,2 MB,,,,,,,,,,,,,,,,,,,,,
96,6 Hours,1 Lithium ion batteries required. (included),Acer,Dedicated,NVIDIA,Black,DDR4 SDRAM,512,NVIDIA GeForce RTX 3060,512 GB SSD,Solid State,14.31 x 10.04 x 0.9 inches,4.84 pounds,PH315-53-71HN,1920 x 1080 Pixels,2933 MHz,,4,Windows 10 Home,No Optical Drive,Battery Powered,5 GHz corei7_10750h,Intel,6,14.31 x 10.04 x 0.9 inches,16 GB DDR4,PH315-53-71HN,15.6 Inches,5 GHz Radio Frequency,"$1,430.00",4.6,,,,,,,,,,,,,,,,,,,,,,,,,
97,10 Hours,1 Lithium ion batteries required. (included),Dell,Integrated,Intel,Black,DDR4 SDRAM,8,,SSD,Solid State,,5.44 pounds,6T5NY,1920 x 1080,3200 MHz,2,,Windows 10 Pro,No Optical Drive,,2.4 GHz core_i5_family,Intel,1,,,Latitude,15.6 Inches,Bluetooth,$862.69,4.3,,,,,,,,15.4 x 13.4 x 3.1 inches,,,,,,,,,,,,,,,,,
